artist_id,track_id
02rd0anEWfMtF7iMku9uor,5LGEfWqwgYL16tyXkrRC8J
02rd0anEWfMtF7iMku9uor,6DuRbVj7iCZeMuMYldivIQ
02rd0anEWfMtF7iMku9uor,3aPu8Pt9F18y7O7AbzsC02
02rd0anEWfMtF7iMku9uor,50Wf9mPOJW1zIfHNtKm7Z8
02rd0anEWfMtF7iMku9uor,6A2hvKTF2FShj0Yma7CP8N
02rd0anEWfMtF7iMku9uor,5o6dFqafETxZNqUFt9ZqAC
030sRm1rnXI9MeQ23pdax8,59xyRqG06dGbTmmJFVFbyQ
03a5eVjzFyQlR4XyVSwt4t,3x5VSzCT9x9LB6uPomLZXs
03a5eVjzFyQlR4XyVSwt4t,63w0QA1wiV7QhF9jeiHETF
03ilIKH0i08IxmjKcn63ne,7CMIy0uwXyeBv2MvaEUJM1
03qM4LmPCrR7CuHTE0WAIW,1DH1DGQzth0K6YouejlNLY
03r4iKL2g2442PT9n2UKsx,56H98l4uinRifnTH8e308N
03r4iKL2g2442PT9n2UKsx,0Puj4YlTm6xNzDDADXHMI9
03tfKFHhDoDqF73vCI3cxn,4WtkYdCG4n80h08Ep5SmDI
048LktY5zMnakWq7PTtFrz,2Xr1dTzJee307rmrkt8c0g
04T7QEqAiQBW12loi1g2CO,6clrpCeCKy6A0Tda4Tq3Ha
04V6nCBJq5l3f5Ucdptw5R,0MwkywJbKkouaclKZ0WjPA
04abdnqPQe2N4fjztDea6z,52vS7mJ0a70Z4uRCfl8SjH
04abdnqPQe2N4fjztDea6z,2n3CaPGPLYnYAvTEwKCX8t
04ei5kNgmDuNAydFhhIHnD,2u7mxWSeoqTXndK5e08jMp
04ei5kNgmDuNAydFhhIHnD,3ZhTT6yjZwpPph5MIJ53XY
04gDigrS5kc9YWfZHwBETP,4V9JDRqKjN8F2HWdlEDxvI
04gDigrS5kc9YWfZHwBETP,6ECp64rv50XVz93WvxXMGF
04gDigrS5kc9YWfZHwBETP,7sapKrjDij2fpDVj0GxP66
04gDigrS5kc9YWfZHwBETP,5qII2n90lVdPDcgXEEVHNy
04gDigrS5kc9YWfZHwBETP,1lHXlGlve5Zx8tXLhyjDwM
04gDigrS5kc9YWfZHwBETP,1zqllQUMCgMaInr0CzFVll
04gDigrS5kc9YWfZHwBETP,0tuyEYTaqLxE41yGHSsXjy
04gDigrS5kc9YWfZHwBETP,1rhHkjoNw3EPUG4qAuGZih
04gDigrS5kc9YWfZHwBETP,6KBYk8OFtod7brGuZ3Y67q
04gDigrS5kc9YWfZHwBETP,2TRuBFYZYw0Q7qIVBhqR1T
04gDigrS5kc9YWfZHwBETP,7zmJyZL3DfYBBYbY8Rve6W
04gDigrS5kc9YWfZHwBETP,4ucLHLiSjvkCz5Lr5dlVUj
04gDigrS5kc9YWfZHwBETP,7LcfRTgAVTs5pQGEQgUEzN
04gDigrS5kc9YWfZHwBETP,7A4KjSFDx0BL75up2eK0OF
04gDigrS5kc9YWfZHwBETP,1LmN9SSHISbtp9LoaR5ZVJ
04gDigrS5kc9YWfZHwBETP,4XNrMwGx1SqP01sqkGTDmo
04gDigrS5kc9YWfZHwBETP,1c2MXiju7DNPSfsKoVbHlg
04gDigrS5kc9YWfZHwBETP,5zFglKYiknIxks8geR8rcL
04gDigrS5kc9YWfZHwBETP,6TwfdLbaxTKzQi3AgsZNzx
04gDigrS5kc9YWfZHwBETP,0HnaqUxvHP5LaWdmWwJpiS
04gDigrS5kc9YWfZHwBETP,4gbVRS8gloEluzf0GzDOFc
04gDigrS5kc9YWfZHwBETP,2PLo8T3kGE9URFvBy3tUdt
04gDigrS5kc9YWfZHwBETP,2bL2gyO6kBdLkNSkxXNh6x
04gDigrS5kc9YWfZHwBETP,2iuZJX9X9P0GKaE93xcPjk
04gDigrS5kc9YWfZHwBETP,1nueTG77MzNkJTKQ0ZdGzT
04gDigrS5kc9YWfZHwBETP,423oRmTgCWl8nF9Oac1fvA
04gDigrS5kc9YWfZHwBETP,2j5hsQvApottzvTn4pFJWF
04gDigrS5kc9YWfZHwBETP,6AvfZXpbb6r35DfF7gHPRq
04gDigrS5kc9YWfZHwBETP,6V1bu6o1Yo5ZXnsCJU8Ovk
04gDigrS5kc9YWfZHwBETP,4cktbXiXOapiLBMprHFErI
04gDigrS5kc9YWfZHwBETP,2ST72jD2KVe7f3fbcGyX1b
04uu8U3I1h26Fp2NBkPTRZ,5vUnjhBzRJJIAOJPde6zDx
05BMTFbYu3UZ61SYiu7mTg,6GdDjthxbTGBV9rl2oLKa9
05RZIdfz59ZW2FvFuwnmNK,3PJivN5BZ2ckFa22igIu4a
05ZOzt8hlefGYXWJIL37PI,4DNmr6nXrvHLRh6oxOHNsz
05oH07COxkXKIMt6mIPRee,0YwUJOHKYxlm5gVfIkl8Ym
05oH07COxkXKIMt6mIPRee,537F8BYzIMOZBl75qwCXy8
05oH07COxkXKIMt6mIPRee,0pLmfgIANOX9FB9uZDU43x
05oH07COxkXKIMt6mIPRee,6tvOzCdhzkrJo3ASWwbSPZ
05oH07COxkXKIMt6mIPRee,5jSAfX8SJVD5uzFyLlTVwo
05oH07COxkXKIMt6mIPRee,06G1SCVVYRSDCFGMSnDvpv
05oH07COxkXKIMt6mIPRee,6XDSSxwOntlKPkE6wVzucb
06HL4z0CvFAxyc27GXpf02,7r7j12XctfJqZWXsy1Zq9L
06HL4z0CvFAxyc27GXpf02,3nsfB1vus2qaloUdcBZvDu
06HL4z0CvFAxyc27GXpf02,3z6XUommYDWPHeFhmhhT6j
06HL4z0CvFAxyc27GXpf02,3GCL1PydwsLodcpv0Ll1ch
06HL4z0CvFAxyc27GXpf02,6N1K5OVVCopBjGViHs2IvP
06HL4z0CvFAxyc27GXpf02,5QVVjX0ZItqlVpEuVCM9Yg
06HL4z0CvFAxyc27GXpf02,4axSuOg3BqsowKjRpj59RU
06HL4z0CvFAxyc27GXpf02,0V3wPSX9ygBnCm8psDIegu
06HL4z0CvFAxyc27GXpf02,5jQI2r1RdgtuT8S3iG8zFC
06HL4z0CvFAxyc27GXpf02,3eX0NZfLtGzoLUxPNvRfqm
06HL4z0CvFAxyc27GXpf02,4zmKGsrXjLmljb5fTaBTot
06HL4z0CvFAxyc27GXpf02,3rWDp9tBPQR9z6U5YyRSK4
06HL4z0CvFAxyc27GXpf02,3qoftcUZaUOncvIYjFSPdE
06HL4z0CvFAxyc27GXpf02,0heeNYlwOGuUSe7TgUD27B
06HL4z0CvFAxyc27GXpf02,4D7BCuvgdJlYvlX5WlN54t
06HL4z0CvFAxyc27GXpf02,7KokYm8cMIXCsGVmUvKtqf
06HL4z0CvFAxyc27GXpf02,1xwAWUI6Dj0WGC3KiUPN0O
06HL4z0CvFAxyc27GXpf02,7FmYn9e7KHMXcxqGSj9LjH
06HL4z0CvFAxyc27GXpf02,0A1JLUlkZkp2EFrosoNQi0
06HL4z0CvFAxyc27GXpf02,0wavGRldH0AWyu2zvTz8zb
06HL4z0CvFAxyc27GXpf02,0aV5uARAknQgYhBaK944FP
06HL4z0CvFAxyc27GXpf02,0BiqmkasE5FdrChwKfVp8X
06HL4z0CvFAxyc27GXpf02,3UMrglJeju5yWyYIW6o99b
06HL4z0CvFAxyc27GXpf02,7712gjoih4QoDbXpljEk21
06HL4z0CvFAxyc27GXpf02,5kiZGSxgqPdv6rbqL9THdd
06HL4z0CvFAxyc27GXpf02,6wAFvJPpTZVirBKGZ4EnMW
06HL4z0CvFAxyc27GXpf02,3QF5RsWzK1lCvf2o2cY65P
06HL4z0CvFAxyc27GXpf02,4P9Q0GojKVXpRTJCaL3kyy
06HL4z0CvFAxyc27GXpf02,1BxfuPKGuaTgP7aM0Bbdwr
06HL4z0CvFAxyc27GXpf02,4i6cwNY6oIUU2XZxPIw82Y
06HL4z0CvFAxyc27GXpf02,3xYJScVfxByb61dYHTwiby
06HL4z0CvFAxyc27GXpf02,5kHMfzgLZP95O9NBy0ku4v
06HL4z0CvFAxyc27GXpf02,7G0gBu6nLdhFDPRLc0HdDG
06HL4z0CvFAxyc27GXpf02,79uDOz0zuuWS7HWxzMmTa2
06HL4z0CvFAxyc27GXpf02,3sW3oSbzsfecv9XoUdGs7h
06HL4z0CvFAxyc27GXpf02,3MytWN8L7shNYzGl4tAKRp
06HL4z0CvFAxyc27GXpf02,1zU8j1x3yi9xalMF96pzKp
06HL4z0CvFAxyc27GXpf02,0NwGC0v03ysCYINtg6ns58
06HL4z0CvFAxyc27GXpf02,4ABYxlb92WBIjHu7TIKmml
06HL4z0CvFAxyc27GXpf02,0zo975x58DlXbZllWvfYhg
06HL4z0CvFAxyc27GXpf02,4e3ZNTAV6PCrdYMUrUlMpQ
06HL4z0CvFAxyc27GXpf02,30Y4CV7A6YqtQtTTo7Ue4j
06HL4z0CvFAxyc27GXpf02,4s8BIKx4Zh6ryAEz8RTlaU
06HL4z0CvFAxyc27GXpf02,6dTA6y0C2ReQklntzZl8l3
06HL4z0CvFAxyc27GXpf02,1HCdems7PQZRj42QDWLA0A
06HL4z0CvFAxyc27GXpf02,4tMzIAFTFdqGBQLdfbPces
06HL4z0CvFAxyc27GXpf02,4hqJ4bSlYJOXb6Z4SRmzxs
06HL4z0CvFAxyc27GXpf02,59KOoHFcw5XfICnO57holu
06HL4z0CvFAxyc27GXpf02,2EFZ9emtKWEglWUQGEQ3P9
06HL4z0CvFAxyc27GXpf02,12nBPF4Rh4XLFJV0YLN7uj
06HL4z0CvFAxyc27GXpf02,3yNJkriPzWjkkDAWHIAVUq
06HL4z0CvFAxyc27GXpf02,4evLyY5Ue1Wesc61t2KXAU
06HL4z0CvFAxyc27GXpf02,1p80LdxRV74UKvL8gnD7ky
06HL4z0CvFAxyc27GXpf02,1Iq8oo9XkmmvCQiGOfORiz
06HL4z0CvFAxyc27GXpf02,5KD6AEm19QnMbfWpfoOHMl
06HL4z0CvFAxyc27GXpf02,71BqAINEnezjQfxE4VuJfq
06HL4z0CvFAxyc27GXpf02,4NioO5R9sHEZh4cGzMHyNt
06HL4z0CvFAxyc27GXpf02,64FzgoLZ3oXu2SriZblHic
06HL4z0CvFAxyc27GXpf02,1hjRhYpWyqDpPahmSlUTlc
06HL4z0CvFAxyc27GXpf02,6T0sEnqjmHISIKwFETeeiP
06HL4z0CvFAxyc27GXpf02,45wMBGri1PORPjM9PwFfrS
06HL4z0CvFAxyc27GXpf02,1hR8BSuEqPCCZfv93zzzz9
06HL4z0CvFAxyc27GXpf02,045ZeOHPIzhxxsm8bq5kyE
06HL4z0CvFAxyc27GXpf02,1K39ty6o1sHwwlZwO6a7wK
06HL4z0CvFAxyc27GXpf02,6GXgd1BPD9bUpqw5AntGV5
06HL4z0CvFAxyc27GXpf02,3pv7Q5v2dpdefwdWIvE7yH
06HL4z0CvFAxyc27GXpf02,2vPMoMDXxu9uX1igWZmXSG
06HL4z0CvFAxyc27GXpf02,2ByBBvpR9b7IynvRmnG7kG
06HL4z0CvFAxyc27GXpf02,43y1WpBdnEy5TR9aZoSQL9
06HL4z0CvFAxyc27GXpf02,2f0GI2ZLUtbGqFx8t2Gk6A
06HL4z0CvFAxyc27GXpf02,2ve0kuaWUCt4Zx8x4bf1MR
06HL4z0CvFAxyc27GXpf02,75W3SngKzTuoQ94uLf3y82
06HL4z0CvFAxyc27GXpf02,4UwqOWDpdeIDVQDuKT6iza
06HL4z0CvFAxyc27GXpf02,3CWq0pAKKTWb0K4yiglDc4
06HL4z0CvFAxyc27GXpf02,2OzhQlSqBEmt7hmkYxfT6m
06HL4z0CvFAxyc27GXpf02,2F3N9tdombb64aW6VtZOdo
06HL4z0CvFAxyc27GXpf02,4q5YezDOIPcoLr8R81x9qy
06HL4z0CvFAxyc27GXpf02,3NMrVbIVWT3fPXBj0rNDKG
06HL4z0CvFAxyc27GXpf02,3Vevii7qKqrmW8CcyzBHDl
06HL4z0CvFAxyc27GXpf02,2XXwLdtuAcE0HSCu61ijAb
06HL4z0CvFAxyc27GXpf02,5og4Qzt92jJzVDkOtSEilb
06HL4z0CvFAxyc27GXpf02,3ZVFcD8Wlw9T9klGqmJf9F
06HL4z0CvFAxyc27GXpf02,6kl8thRysTeVV3WvKxgZAy
06HL4z0CvFAxyc27GXpf02,0W0iAC1VGlB82PI6elxFYf
06HL4z0CvFAxyc27GXpf02,3fO566xJgwxIa3qGCGBvIC
06HL4z0CvFAxyc27GXpf02,3YkNIrAvbKNrrwwEd7NVLl
06HL4z0CvFAxyc27GXpf02,1dhMTsEZz6ZEquGvmzVoHn
06HL4z0CvFAxyc27GXpf02,1xtw1krCR6Dw2KwkXw5z63
06HL4z0CvFAxyc27GXpf02,5chnRTB9qMK3W1M41SnU9s
06HL4z0CvFAxyc27GXpf02,4d9PtIEVij9jW5OaLinH66
06HL4z0CvFAxyc27GXpf02,7ogK4lJDVDMU6A6vYR5rvD
06HL4z0CvFAxyc27GXpf02,1GP8VW5Wk2w2obkWjGCGXd
06HL4z0CvFAxyc27GXpf02,62E2nR0od0M5HYxuYLaDz7
06HL4z0CvFAxyc27GXpf02,1kcwpPDQnqEqmezzXdJTCP
06HL4z0CvFAxyc27GXpf02,4EF6IyONolQy0bIQXm2EmX
06HL4z0CvFAxyc27GXpf02,18WFFUIsewmA8g31KAeo3e
06HL4z0CvFAxyc27GXpf02,3hlGuz3loYoLfI3bpwieWq
06HL4z0CvFAxyc27GXpf02,5Bedn0svl0ZD7RGmJkmKKw
06HL4z0CvFAxyc27GXpf02,1rmEsOezwf2lmIZTMAO5Ag
06HL4z0CvFAxyc27GXpf02,1Zai5UJ2di3qEuR2HeT2s8
06HL4z0CvFAxyc27GXpf02,0g4fMVo4JjwnIpTfFfLdxS
06HL4z0CvFAxyc27GXpf02,3zMDGj4D8ogaYgAIZPeU7S
06HL4z0CvFAxyc27GXpf02,2913xXOVAIDAqxzV2g4VcU
06HL4z0CvFAxyc27GXpf02,1DTRUYVd8rYpla9hhVVwjo
06HL4z0CvFAxyc27GXpf02,2CnjDMdpRjlWv04Xk3s6MW
06HL4z0CvFAxyc27GXpf02,0hhzNPE68LWLfgZwdpxVdR
06HL4z0CvFAxyc27GXpf02,0Om9WAB5RS09L80DyOfTNa
06HL4z0CvFAxyc27GXpf02,7zMcNqs55Mxer82bvZFkpg
06HL4z0CvFAxyc27GXpf02,15DeqWWQB4dcEWzJg15VrN
06HL4z0CvFAxyc27GXpf02,32mVHdy0bi1XKgr0ajsBlG
06HL4z0CvFAxyc27GXpf02,16MVSD0mGI4RMQT83Qzm69
06HL4z0CvFAxyc27GXpf02,7qEUFOVcxRI19tbT68JcYK
06HL4z0CvFAxyc27GXpf02,1vrd6UOGamcKNGnSHJQlSt
06HL4z0CvFAxyc27GXpf02,6Eu31gddWw0gOGO506pJYA
06HL4z0CvFAxyc27GXpf02,6iiAfo4wTA2CVC3Uwx9uh8
06HL4z0CvFAxyc27GXpf02,6wn61Fzx9XMxQmieLpoIhW
06HL4z0CvFAxyc27GXpf02,22bPsP2jCgbLUvh82U0Z3M
06HL4z0CvFAxyc27GXpf02,2nqio0SfWg6gh2eCtfuMa5
06HL4z0CvFAxyc27GXpf02,7HC7R2D8WjXVcUHJyEGjRs
06HL4z0CvFAxyc27GXpf02,550erGcdD9n6PnwxrvYqZT
06HL4z0CvFAxyc27GXpf02,5vyxXfD5gLlyPxGZMEjtmd
06HL4z0CvFAxyc27GXpf02,2m3ObD945KvpE5y9A1eUWm
06HL4z0CvFAxyc27GXpf02,0tQ9vBYpldCuikPsbgOVKA
06HL4z0CvFAxyc27GXpf02,1cSFlSBdpT4F5vb1frQ231
06HL4z0CvFAxyc27GXpf02,51A8eKvvZz9uydvIZ7xRSV
06HL4z0CvFAxyc27GXpf02,1n2wszmJyVkw6FHqyLnQsY
06HL4z0CvFAxyc27GXpf02,2JoJrsEV15OzbijS47lids
06HL4z0CvFAxyc27GXpf02,0dBW6ZsW8skfvoRfgeerBF
06HL4z0CvFAxyc27GXpf02,5xXqyjLicvEpch72qEryFT
06HL4z0CvFAxyc27GXpf02,3DrjZArsPsoqbLzUZZV1Id
06HL4z0CvFAxyc27GXpf02,5yEPktRqvIhko5QFF3aBhQ
06HL4z0CvFAxyc27GXpf02,6d9IiDcFxtFVIvt9pCqyGH
06HL4z0CvFAxyc27GXpf02,2ythurkTtSiyfK7GprJoFW
06HL4z0CvFAxyc27GXpf02,28M2gifMU282QBM3fKajIS
06HL4z0CvFAxyc27GXpf02,10eBRyImhfqVvkiVEGf0N0
06HL4z0CvFAxyc27GXpf02,1wJL1A0QUHJPf2cm7tsrdw
06HL4z0CvFAxyc27GXpf02,0kAZ3H6G9Zac4PMpmobMkj
06HL4z0CvFAxyc27GXpf02,2NIBaWXdjaTDmytjjwbEfP
