artist_id,name,popularity,followers
5Mk8gDk97DobpH0dAIUBCb,Nisan And D-Man,14,12
2XsudBfsvfyV3kgElVU8iF,Hit Tunes Karaoke,14,917
1rl4njKnnTzzHKqx2fSQtp,Singer's Best,14,78
4euhIu4FOEGpBqItwyIKEw,JMKaraoke,14,2866
6OFiYrxwbrvFTqbU4VWyzU,Ameritz Karaoke Band,14,1081
0G1lC1HfIxk8lrAFBrsWrF,Hit Masters,14,218
6AXr7aXrJYFI3XjslAWDPY,Michelle Chamuel,14,6445
4r8lFKdMmYGN1Ayywk9lce,Hannah Huston,14,6544
4KpcNmVL8B16qaOfqTjDc0,Mikaila,15,7049
7EVaoxToIYScm77vpplHXf,Tammy Cochran,15,28574
5taaHcEgGsJTuj62xFYy6F,Tommy Shane Steiner,15,1723
6RhzdrHfuZEMnZTNRjbTpz,Hitman Sammy Sam,15,4372
25naJrFZN5yogpY4K3bV0f,Bobby Pinson,15,4183
5c0WuXHDBICT0GqUzhh0cL,Boogie Boots,15,893
7oLi2IQ3ZGq4ZKL49bpHPE,Andres Espinosa,15,1597
7AIv95Fs2XdmEbTEUC1sOz,Lil Lippy,15,596
3dEmtnoOnNNor8HDMq8THn,Yankee Grey,16,2103
6F0ZVOJymgjutBNRws94qa,Clay Davidson,16,3964
7EWyzA8UvK1mtovU6OzODR,Sharissa Dawes,16,3630
349FPOuwEzECEtzPVPX49k,Ceehunniitz,16,42
1k92N0jplAxEijUxiecNDk,Toni Halliday,16,1794
7a2AgzWfEyFkgSAXjLe4T3,Karaoke Universe,16,2185
7sbNNaQTulMUEWxL5aDTiT,Steel Magnolia,16,15198
0eEyJYLYfx1dY8rsVsNVG0,The Hip Hop Nation,16,2771
11VRTR3lSXmFs5YZfmNOl7,Amanda Brown,16,4228
4zt5aHAmGXYBO8FaWAbDGt,Craig Wayne Boyd,16,7021
0lmKvjsV6xcpES9x96iqpf,Barrett Baber,16,5414
57oPg5vpE4vyip60by74tq,Brian McComas,17,3222
0Ti91YxiacZTgVeD0hvXAq,ZZang KARAOKE,17,216
5fhX5cgW9CIJ363zTqAP3a,Alpha Rev,17,7927
3rhkghmBZVTNwfxwmt3UoL,Antoine Dodson,17,2010
4tvXcPWXNUK5d1yvfJgKUF,Don Sharicon,17,631
6Ai8wem3AnC3ccP6E5aw1q,Isyss,18,60585
7Cnz0jA7Cwlj34nLkiWsRg,Cherie,18,1628
3w8ftNBSD8y07n3MqUNjLV,Ameritz Top Tributes,18,282
5ZScUKiM35L8nM4Flfeplu,Jeannie Ortega,18,4207
0O8Q5C7YcMWghyISchsJsy,GMPresents & Jocelyn Scofield,18,6142
01dlLJybM3GViX6MmleD2N,Dro,18,313
1P0BWH63MKkRzVDo6KENaB,Kar Vogue,18,496
3Sg5HEdx7PdMFmU7qRoihI,2017 DJ Mo Fleeks,18,265
0z5fc9UsfP6BL8ykJcEka4,Clouded Chris,19,652
2nmNj8czpBZkCVZSbx5W2i,Philly's Most Wanted,19,14312
6Xdp9Oz4PJJB9O0yoZmg7r,BFM Hits,19,1006
0xL0ZB2mnlEi7gga3EMAbe,ProTracks (Karaoke),19,354
